epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1113,1.55703,3.35012,2.05792,0.00353,0.47151,0.02011,0.00885,2.27465,4.00497,2.8122,0.0011,0.0011,0.0011
2,23.0181,1.48298,3.33835,1.94489,0.00391,0.5317,0.02101,0.00944,2.23132,4.01235,2.73743,0.00225446,0.00225446,0.00225446
3,37.091,1.31537,3.2078,1.80115,0.00312,0.42023,0.02883,0.01154,2.31883,3.90597,2.7875,0.0033614,0.0033614,0.0033614
4,48.8452,1.37536,3.18344,1.81729,0.0035,0.49466,0.0352,0.00959,2.26009,3.91044,2.73941,0.00442082,0.00442082,0.00442082
5,59.2285,1.28283,3.09567,1.72518,0.00346,0.51781,0.0627,0.01661,2.19944,3.94178,2.6325,0.00543272,0.00543272,0.00543272
6,69.4196,1.30678,3.07204,1.728,0.00363,0.53632,0.04554,0.01419,2.21034,3.83655,2.59249,0.0063971,0.0063971,0.0063971
7,79.951,1.21229,3.02498,1.70165,0.00363,0.53632,0.04554,0.01419,2.21034,3.83655,2.59249,0.00731396,0.00731396,0.00731396
8,91.6058,1.30722,3.03196,1.71395,0.00356,0.52493,0.14237,0.04797,2.08977,3.85988,2.44964,0.0081833,0.0081833,0.0081833
9,144.741,1.34059,2.97588,1.72183,0.38183,0.07407,0.08095,0.02541,2.17174,3.85089,2.50362,0.008416,0.008416,0.008416
10,196.503,1.15944,2.86801,1.5962,0.80729,0.06806,0.11754,0.03329,2.39873,3.88182,2.7706,0.008218,0.008218,0.008218
11,248.478,1.2574,2.68985,1.65771,0.80729,0.06806,0.11754,0.03329,2.39873,3.88182,2.7706,0.00802,0.00802,0.00802
12,279.438,1.34096,2.75391,1.69145,0.79557,0.07407,0.08209,0.02361,2.58688,3.92046,2.92544,0.007822,0.007822,0.007822
