epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,2486.15,1.15866,1.04167,1.5377,0.76404,0.7169,0.77285,0.45232,1.50924,1.10242,2.00442,0.002872,0.002872,0.002872
38,2564.12,1.17855,1.06482,1.54172,0.75599,0.67682,0.75794,0.42495,1.51317,1.16438,2.00043,0.002674,0.002674,0.002674
39,2642.31,1.18459,1.06801,1.54969,0.74644,0.71944,0.77069,0.44001,1.44825,1.15418,1.97716,0.002476,0.002476,0.002476
40,2720.41,1.1584,1.05578,1.53402,0.78615,0.71512,0.76276,0.4529,1.42268,1.12193,1.96734,0.002278,0.002278,0.002278
41,2797.45,1.18553,1.09409,1.72316,0.72882,0.71329,0.72838,0.43289,1.43023,1.16037,1.98182,0.00208,0.00208,0.00208
42,2874.07,1.17991,1.02692,1.71935,0.76922,0.722,0.74939,0.44665,1.42903,1.13915,1.95051,0.001882,0.001882,0.001882
43,2950.83,1.17664,0.99986,1.68219,0.70479,0.73894,0.74147,0.42916,1.41398,1.13336,1.97527,0.001684,0.001684,0.001684
44,3027.51,1.12793,0.98106,1.67723,0.78298,0.70683,0.75625,0.4577,1.43259,1.14027,1.96531,0.001486,0.001486,0.001486
45,3104.28,1.15711,0.95998,1.68574,0.7833,0.71062,0.75706,0.46199,1.42908,1.1538,1.98936,0.001288,0.001288,0.001288
46,3180.96,1.10708,0.93021,1.6367,0.76412,0.70172,0.73537,0.4424,1.46883,1.18114,2.00353,0.00109,0.00109,0.00109
47,3257.79,1.07948,0.90684,1.62468,0.76076,0.68995,0.74795,0.45214,1.44644,1.15861,2.01752,0.000892,0.000892,0.000892
48,3334.47,1.09926,0.91513,1.62737,0.74589,0.74715,0.7476,0.43666,1.46231,1.15219,2.01853,0.000694,0.000694,0.000694
49,3410.99,1.09263,0.91367,1.6179,0.81182,0.67471,0.74837,0.44795,1.43841,1.11764,2.01498,0.000496,0.000496,0.000496
50,3487.73,1.0771,0.87989,1.6164,0.78905,0.70584,0.75668,0.44565,1.45206,1.1243,2.00806,0.000298,0.000298,0.000298
