epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5964,1.36514,2.8923,1.78306,0.71677,0.3439,0.3593,0.19674,1.50867,2.21642,2.10591,0.00331984,0.00331984,0.00331984
2,135.67,1.40362,2.13293,1.75602,0.51533,0.54878,0.48891,0.24939,1.45619,1.95822,2.07064,0.00652144,0.00652144,0.00652144
3,195.394,1.4034,1.94766,1.74109,0.57147,0.47597,0.47325,0.25085,1.62341,2.04923,2.32683,0.00959104,0.00959104,0.00959104
4,241.221,1.43455,1.84732,1.76384,0.5027,0.54999,0.50566,0.25128,1.75723,2.11016,2.34252,0.009406,0.009406,0.009406
5,288.239,1.41393,1.75434,1.74696,0.69697,0.64475,0.64216,0.37228,1.54028,1.66131,2.28951,0.009208,0.009208,0.009208
6,335.173,1.38837,1.65243,1.73247,0.72256,0.64353,0.65546,0.38908,1.42141,1.44854,2.10436,0.00901,0.00901,0.00901
7,381.222,1.38109,1.59079,1.71811,0.74538,0.57735,0.63143,0.33458,1.62866,1.56846,2.19699,0.008812,0.008812,0.008812
8,425.939,1.40507,1.5729,1.72768,0.7349,0.68635,0.68172,0.41408,1.52581,1.44283,2.07526,0.008614,0.008614,0.008614
9,470.871,1.39544,1.49263,1.71383,0.73977,0.60541,0.67838,0.4069,1.42749,1.34606,2.10812,0.008416,0.008416,0.008416
10,514.635,1.38175,1.42262,1.70759,0.60389,0.59619,0.58786,0.31557,1.59525,1.5752,2.10224,0.008218,0.008218,0.008218
11,560.424,1.35106,1.43446,1.70739,0.742,0.59532,0.68078,0.41873,1.4713,1.3975,2.04286,0.00802,0.00802,0.00802
12,605.897,1.32682,1.38919,1.66889,0.73388,0.64703,0.68182,0.42147,1.42087,1.29155,2.01022,0.007822,0.007822,0.007822
13,652.533,1.3197,1.34743,1.67902,0.7038,0.6744,0.67216,0.38614,1.50632,1.31197,2.07667,0.007624,0.007624,0.007624
14,701.33,1.32658,1.34593,1.66792,0.79642,0.68108,0.72276,0.42782,1.41758,1.26525,1.99995,0.007426,0.007426,0.007426
15,765.535,1.34939,1.34074,1.68524,0.79157,0.64554,0.71784,0.41364,1.48587,1.32313,2.03922,0.007228,0.007228,0.007228
16,859.495,1.31101,1.32594,1.66554,0.77145,0.67432,0.70593,0.40165,1.47515,1.28691,2.04784,0.00703,0.00703,0.00703
17,948.234,1.2925,1.2748,1.63653,0.72099,0.65237,0.69601,0.39211,1.48059,1.35619,2.06518,0.006832,0.006832,0.006832
18,1033.6,1.28404,1.26141,1.63982,0.77495,0.68769,0.73693,0.44827,1.47826,1.22916,2.0809,0.006634,0.006634,0.006634
19,1125.74,1.29344,1.25819,1.64143,0.71918,0.7153,0.75062,0.4153,1.49858,1.26707,2.0538,0.006436,0.006436,0.006436
20,1215.37,1.286,1.25434,1.62966,0.74638,0.69355,0.74646,0.42633,1.55231,1.21658,2.06827,0.006238,0.006238,0.006238
21,1303.75,1.26068,1.20797,1.6115,0.71845,0.69292,0.71225,0.42642,1.44903,1.20445,2.04251,0.00604,0.00604,0.00604
22,1393.03,1.27405,1.24262,1.616,0.74271,0.69485,0.73072,0.42972,1.48482,1.24662,2.04945,0.005842,0.005842,0.005842
23,1470.53,1.27359,1.20304,1.63196,0.84069,0.70019,0.74703,0.45521,1.49586,1.25617,2.0785,0.005644,0.005644,0.005644
24,1516.26,1.28799,1.2447,1.63246,0.79493,0.63406,0.73247,0.42841,1.55459,1.22159,2.07588,0.005446,0.005446,0.005446
25,1562.21,1.22581,1.18153,1.59416,0.79567,0.68403,0.72716,0.42362,1.44415,1.24967,2.00106,0.005248,0.005248,0.005248
26,1607.03,1.24846,1.18626,1.61415,0.73011,0.69852,0.73445,0.42397,1.42497,1.21886,2.00243,0.00505,0.00505,0.00505
27,1681.42,1.23631,1.11247,1.58952,0.79464,0.69964,0.74815,0.44666,1.40266,1.16191,2.00373,0.004852,0.004852,0.004852
28,1769.3,1.25344,1.15831,1.60065,0.80161,0.68799,0.74478,0.44351,1.38574,1.16524,1.9774,0.004654,0.004654,0.004654
29,1856.71,1.20856,1.12901,1.57149,0.80897,0.7218,0.76712,0.44724,1.43894,1.14789,2.00811,0.004456,0.004456,0.004456
30,1936.79,1.22815,1.14071,1.58826,0.7557,0.71024,0.74956,0.44116,1.43539,1.11678,1.98587,0.004258,0.004258,0.004258
31,2015.99,1.22564,1.15605,1.60111,0.78706,0.75813,0.77933,0.46005,1.41522,1.10855,1.95636,0.00406,0.00406,0.00406
32,2094.26,1.20191,1.08012,1.59051,0.77399,0.72804,0.76998,0.42948,1.52477,1.15792,2.05256,0.003862,0.003862,0.003862
33,2172.43,1.19312,1.08891,1.57241,0.79232,0.73539,0.77751,0.47149,1.4145,1.17951,1.98933,0.003664,0.003664,0.003664
34,2250.45,1.20066,1.09669,1.56551,0.78402,0.69003,0.74459,0.44568,1.44168,1.19007,2.0204,0.003466,0.003466,0.003466
35,2329.64,1.17913,1.09478,1.55598,0.78783,0.72512,0.76168,0.47059,1.38719,1.15036,1.96955,0.003268,0.003268,0.003268
36,2408.28,1.16748,1.10649,1.5326,0.79222,0.71905,0.76371,0.44501,1.50886,1.19876,2.0106,0.00307,0.00307,0.00307
